,"Heure locale
access_time
30mn
METAR",,Température,Temps,Pluie,Vent,Humidité,Bio-météo,Pt. de rosée,Pression,Visibilité
56,2023-01-03 16:00:00,add_circle_outline,"12.3 °C
12.3 → 12.5",,0 mm/1h,"25 km/h

raf.49",75%,64 ,8 °C,1025.5hPa,45 km
57,2023-01-03 15:00:00,add_circle_outline,"12.4 °C
12.2 → 12.4",,0 mm/1h,"25 km/h

raf.45.7",74%,103 ,7.9 °C,1025.9hPa,35 km
58,2023-01-03 14:00:00,add_circle_outline,"12.3 °C
12.2 → 12.3",,0 mm/1h,"25 km/h

raf.49.3",74%,58 ,7.8 °C,1026.6hPa,45 km
59,2023-01-03 13:00:00,add_circle_outline,"12.3 °C
11.8 → 12.3",,0 mm/1h,"25 km/h

raf.42.1",78%,136 ,8.6 °C,1027.1hPa,35 km
60,2023-01-03 12:00:00,add_circle_outline,"11.8 °C
10 → 12",,0 mm/1h,"25 km/h

raf.39.2",81%,214 ,8.6 °C,1027.4hPa,15 km
61,2023-01-03 11:00:00,add_circle_outline,"10.0 °C
8.7 → 10",,0 mm/1h,"18 km/h

raf.33.1",89%,"7.5

125 ",8.3 °C,1027.6hPa,26 km
62,2023-01-03 10:00:00,add_circle_outline,"8.7 °C
6.4 → 8.7",,0 mm/1h,"22 km/h

raf.31.3",92%,"5.5

42 ",7.5 °C,1027.5hPa,19 km
63,2023-01-03 09:00:00,add_circle_outline,"6.4 °C
5.9 → 6.5",,0 mm/1h,"14 km/h
raf.20.5",96%,3.5,5.8 °C,1027.0hPa,18 km
64,2023-01-03 08:00:00,add_circle_outline,"6.0 °C
5.9 → 6.9",,0 mm/1h,"11 km/h
raf.21.6",95%,3.6,5.3 °C,1026.8hPa,19 km
65,2023-01-03 07:00:00,add_circle_outline,"6.8 °C
6 → 6.9",,0 mm/1h,"14 km/h
raf.22",93%,4,5.7 °C,1027.0hPa,30 km
66,2023-01-03 06:00:00,add_circle_outline,"6.2 °C
6 → 6.6",,0 mm/1h,"11 km/h
raf.19.1",95%,3.9,5.5 °C,1026.7hPa,19 km
67,2023-01-03 05:00:00,add_circle_outline,"6.3 °C
5.6 → 6.4",,0 mm/1h,"14 km/h
raf.19.8",96%,3.4,5.7 °C,1026.6hPa,19 km
68,2023-01-03 04:00:00,add_circle_outline,"5.9 °C
5.8 → 6.2",,0 mm/1h,"11 km/h
raf.16.9",97%,3.5,5.5 °C,1026.6hPa,19 km
69,2023-01-03 03:00:00,add_circle_outline,"6.0 °C
5.7 → 6.1",,0 mm/1h,"11 km/h
raf.16.9",97%,3.6,5.6 °C,1026.6hPa,19 km
70,2023-01-03 02:00:00,add_circle_outline,"6.0 °C
5.9 → 6.9",,0 mm/1h,"11 km/h
raf.16.2",96%,3.6,5.4 °C,1026.4hPa,19 km
71,2023-01-03 01:00:00,add_circle_outline,"6.7 °C
6.4 → 6.8",,0 mm/1h,"7 km/h
raf.16.9",96%,5.3,6.1 °C,1026.4hPa,19 km
72,2023-01-04 00:00:00,add_circle_outline,"13 °C
13 → 13.1",,0 mm/1h,"14 km/h
raf.25.6",93%,,11.9 °C,1027.2hPa,55 km
73,2023-01-04 23:00:00,add_circle_outline,"13.1 °C
13.1 → 13.3",,0 mm/1h,"14 km/h
raf.26.3",93%,,12 °C,1027.2hPa,60 km
74,2023-01-04 22:00:00,add_circle_outline,"13.3 °C
13.2 → 13.3",,0 mm/1h,"14 km/h
raf.28.4",92%,,12 °C,1026.9hPa,60 km
75,2023-01-04 21:00:00,add_circle_outline,"13.3 °C
13.2 → 13.6",,0.4 mm/1h,"18 km/h

raf.32.8",92%,,12 °C,1026.6hPa,40 km
76,2023-01-04 20:00:00,add_circle_outline,"13.5 °C
13.4 → 13.6",,0 mm/1h,"18 km/h

raf.34.2",90%,,11.9 °C,1026.4hPa,60 km
77,2023-01-04 19:00:00,add_circle_outline,"13.6 °C
13.4 → 13.6",,0 mm/1h,"22 km/h

raf.40",90%,,12 °C,1026.0hPa,60 km
78,2023-01-04 18:00:00,add_circle_outline,"13.5 °C
13.5 → 14",,0.2 mm/1h,"18 km/h

raf.36.4",90%,,11.9 °C,1025.8hPa,60 km
