,"Heure locale
access_time
30mn
METAR",,Température,Temps,Pluie,Vent,Humidité,Bio-météo,Pt. de rosée,Pression,Visibilité
48,2024-11-14 00:00:00,add_circle_outline,"6.0 °C
5.9 → 6.2",,0 mm/1h,"4 km/h
raf.10.1",99%,5.8,5.9 °C,"1029.5hPa

=",100 m
49,2024-11-14 23:00:00,add_circle_outline,"6.3 °C
5.9 → 7",,0 mm/1h,"11 km/h
raf.16.9",98%,4,6 °C,1029.6hPa,1.8 km
50,2024-11-14 22:00:00,add_circle_outline,"6.2 °C
6.2 → 7.3",,0 mm/1h,"11 km/h
raf.11.9",96%,3.9,5.6 °C,1029.5hPa,3.2 km
51,2024-11-14 21:00:00,add_circle_outline,"7.2 °C
6.8 → 7.7",,0 mm/1h,"7 km/h
raf.13.3",95%,5.9,6.5 °C,1029.5hPa,3.7 km
52,2024-11-14 20:00:00,add_circle_outline,"6.8 °C
6.7 → 8.2",,0 mm/1h,"7 km/h
raf.11.5",95%,5.4,6.1 °C,1029.4hPa,6 km
53,2024-11-14 19:00:00,add_circle_outline,"8.1 °C
8 → 9.7",,0 mm/1h,"4 km/h
raf.8.6",92%,8.1,6.9 °C,1029.1hPa,9 km
54,2024-11-14 18:00:00,add_circle_outline,"9.6 °C
9.6 → 11.3",,0 mm/1h,"4 km/h
raf.10.1",84%,"9.6

3 ",7 °C,1029.2hPa,19 km
55,2024-11-14 17:00:00,add_circle_outline,"11.3 °C
11.3 → 12.6",,0 mm/1h,"7 km/h
raf.19.4",77%,89 ,7.4 °C,1029.4hPa,35 km
56,2024-11-14 16:00:00,add_circle_outline,"12.6 °C
12.3 → 12.8",,0 mm/1h,"11 km/h
raf.20.9",71%,164 ,7.5 °C,1029.7hPa,35 km
57,2024-11-14 15:00:00,add_circle_outline,"12.7 °C
12.1 → 12.9",,0 mm/1h,"11 km/h
raf.22.3",71%,250 ,7.6 °C,1029.8hPa,19 km
58,2024-11-14 14:00:00,add_circle_outline,"12.1 °C
12.1 → 13.1",,0 mm/1h,"11 km/h
raf.20.2",73%,217 ,7.4 °C,1030.2hPa,2.4 km
59,2024-11-14 13:00:00,add_circle_outline,"12.4 °C
10.2 → 12.7",,0 mm/1h,"11 km/h
raf.20.5",69%,386 ,6.9 °C,1030.6hPa,35 km
60,2024-11-14 12:00:00,add_circle_outline,"10.1 °C
9.7 → 10.7",,0 mm/1h,"11 km/h
raf.22",76%,169 ,6.1 °C,1031.5hPa,35 km
61,2024-11-14 11:00:00,add_circle_outline,"9.7 °C
7.2 → 9.7",,0 mm/1h,"7 km/h
raf.15.8",75%,"8.7

222 ",5.5 °C,1031.6hPa,18 km
62,2024-11-14 10:00:00,add_circle_outline,"7.1 °C
3.5 → 7.1",,0 mm/1h,"7 km/h
raf.13.3",85%,"5.7

114 ",4.7 °C,1031.8hPa,13 km
63,2024-11-14 09:00:00,add_circle_outline,"3.5 °C
3.1 → 3.5",,0 mm/1h,"4 km/h
raf.7.2",99%,"3

19 ",3.4 °C,"1031.7hPa

=",4 km
64,2024-11-14 08:00:00,add_circle_outline,"3.3 °C
3.1 → 3.9",,0 mm/1h,"7 km/h
raf.7.9",99%,1.3,3.2 °C,1031.4hPa,2.3 km
65,2024-11-14 07:00:00,add_circle_outline,"4.0 °C
4 → 5.2",,0 mm/1h,"4 km/h
raf.12.2",94%,3.6,3.1 °C,1031.5hPa,5 km
66,2024-11-14 06:00:00,add_circle_outline,"4.9 °C
4 → 4.9",,0 mm/1h,"11 km/h
raf.13.7",91%,2.3,3.6 °C,1031.7hPa,11 km
67,2024-11-14 05:00:00,add_circle_outline,"4.0 °C
4 → 4.4",,0 mm/1h,"7 km/h
raf.14",90%,2.2,2.5 °C,1031.7hPa,11 km
68,2024-11-14 04:00:00,add_circle_outline,"4.4 °C
4.4 → 5.1",,0 mm/1h,"11 km/h
raf.20.5",89%,1.7,2.7 °C,1031.8hPa,12 km
69,2024-11-14 03:00:00,add_circle_outline,"4.8 °C
4.7 → 4.9",,0 mm/1h,"11 km/h
raf.17.3",87%,2.2,2.8 °C,1032.2hPa,16 km
70,2024-11-14 02:00:00,add_circle_outline,"4.8 °C
4.5 → 5.1",,0 mm/1h,"11 km/h
raf.17.6",87%,2.2,2.8 °C,1032.0hPa,15 km
71,2024-11-14 01:00:00,add_circle_outline,"5.0 °C
4.9 → 5.5",,0 mm/1h,"11 km/h
raf.19.4",86%,2.4,2.9 °C,"1032.6hPa

=",15 km
